id,work_type
f70970TGU-1,Self-employed
vt42203I-1,Private
s55680SFO-1,children
i11014VS-1,children
qb44338G-1,children
cp20980H-1,Private
gm34974XC-1,Private
wf71379WB-1,DoHMH
pli58261GCQJ-1,Private
eiv67318ZHQB-1,NYC DOHMH
a28526NHJO-1,free-lancer
wya8831DT-1,Private Sector
ver65199G-1,Self-Employed
b43454LYJW-1,Self-Employed
svj7282TOZE-1,Private Sector
v18518HQVN-1,Private Sector
av41648O-1,private sector
wo49003F-1,Private Sector
zlt16371WIK-1,children
x42807NLUP-1,USAID
f40181Z-1,Privte sector
pf66174OQ-1,Self-Employed
gh45538A-1,Entreprenur
yka6319FJOZ-1,private sector
q68249VHPU-1,Private Sector
h55232S-1,private sector
p11120UX-1,private sector
ml41940G-1,private sector
gi72214WYSA-1,Restaurant owner
dvl37089BH-1,entreprener
k68614GUA-1,private sector
rie1686OCK-1,Private Sector
gz22284YEC-1,Private Sector
htx39038MZ-1,children
qw21956N-1,private sector
dpx52134QHP-1,Privte sector
ac30171HMV-1,DoHMH
tj4480BWQ-1,Privte sector
y2982T-1,Privte sector
z65535Q-1,children
rsl29865J-1,Privte sector
l54918RMNE-1,private sector
tpz59368JK-1,Privte sector
fsu65836W-1,Private
rhc21130M-1,Restaurant owner
sug1703B-1,Private
hgc16934JV-1,Self-Employed
k28799WTC-1,children
o32689FAKE-1,Private
qrk56357KZG-1,private sector
xrb18051MWFN-1,US Government
cm40840KS-1,Private Sector
h10449O-1,private sector
ry38805ZDV-1,private sector
ukw31091RPC-1,Privte sector
nvh45053QP-1,DoHMH
x61837Q-1,restaurant owner
e9487M-1,Privte sector
fhi49713CKW-1,private sector
m17608WDTJ-1,US Govcernment
d28102LWT-1,Private
z1506LJ-1,USAID
a28333UG-1,Self employed
ct62608KQSP-1,Privte sector
kd40670EPOU-1,Private Sector
su4630VH-1,private sector
vir21284IFLU-1,Privte sector
q49421ORYL-1,Private
v5973CQNZ-1,Privte sector
o42996FLGP-1,Department of Health
u66333A-1,Self-Employed
g46785ITFR-1,Privte sector
m54312R-1,Self employed
hdg21408N-1,Self-employed
nj49916A-1,private sector
ruv7559EK-1,children
f71038TH-1,Privte sector
zo69037IHPT-1,Private
dwz58617CLRQ-1,free-lancer
s69064QM-1,free-lancer
ny9404WZ-1,Privte sector
dmw8171ULCQ-1,children
ety28286NK-1,Private Sector
e43232DZ-1,Private
et10159ROG-1,private sector
mt34402FYNG-1,Private
clg58282NP-1,NYC DOHMH
ylf64489QEO-1,DOHMH
bq22706SJGK-1,children
sje71539P-1,Private Sector
rlp28637KAI-1,children
s64553VUB-1,Private
tkl31741ZCXV-1,children
asx69936CMN-1,Private
g46527J-1,NYS OMH
ak22537U-1,children
yc50611CR-1,children
m13547TZQ-1,Privte sector
v63732E-1,Freelancer
cj9608F-1,Privte sector
kr10504X-1,DoHMH
oh37090QYU-1,Private
o60148D-1,Privte sector
kmg9637U-1,private sector
ma44862TVFH-1,Privte sector
kqr52173FMSG-1,Entreprenur
yq5708S-1,private sector
udx23462XI-1,Private Sector
z2374IJTA-1,Private
dv11091UFT-1,Self employed
ei70374XEYU-1,Privte sector
b15528L-1,Private Sector
c65357WBN-1,children
gui49465U-1,children
xw31143H-1,Private
cn66972U-1,NYS Office of Mental Health
li55810CMK-1,Self employed
lyx37031SQ-1,Department of Health
oc34608ZIJS-1,Private Sector
iez36007K-1,Private Sector
xl14123X-1,private sector
ts48298L-1,Privte sector
tw54975WI-1,free-lancer
m27213D-1,entreprener
ep44749SY-1,ALbany Health Department
wr46468M-1,Entreprenur
s10913OB-1,children
bm51983ADP-1,Privte sector
nzs27029DA-1,children
lo22320FDM-1,Private Sector
d45719YNEC-1,Private Sector
hc129DKG-1,Privte sector
foa20351RHT-1,Albany Health Dept
dp530SXMU-1,children
dki55351RTM-1,Private Sector
b67431Z-1,Privte sector
dza20546KZXY-1,Privte sector
ra6107MTD-1,children
zv50305PZ-1,Privte sector
nz52342RGL-1,private sector
gqp59906FY-1,Privte sector
fn59729U-1,Private
r53144SW-1,Privte sector
gwh3655DWM-1,Albany Health Dept
te11999CU-1,USAID
muo12985BI-1,Self-employed
huc38119QZBR-1,NYS Office of Mental Health
wg3355NIXF-1,Privte sector
l22091JH-1,Self employed
h5010MOYH-1,children
e67177PN-1,Privte sector
xs58600T-1,Private Sector
exh56681BW-1,Private Sector
ifh56716IPD-1,Private Sector
sv65946WOVA-1,Private Sector
fl61350YKD-1,NYC DOHMH
kyi17291WYPB-1,Restaurant owner
mn61465HUN-1,children
vu18108WV-1,NYS OMH
h48368M-1,entreprener
wse36471KHEP-1,private sector
qu15689PVNA-1,NYC DOHMH
gyv8233CY-1,Entreprenur
nf46436ZX-1,children
fw23221NO-1,Private Sector
nyt31830XYCD-1,Entrepreneur
fqv15296AOR-1,private sector
yhw7351HFA-1,Private Sector
as66196FX-1,Private Sector
sce17718IS-1,Privte sector
eny31164KV-1,Private
ia48272Z-1,children
g2893AK-1,children
b34376T-1,children
e18498FTR-1,Private Sector
vxh56735R-1,entreprener
q8595GR-1,Privte sector
qn621X-1,Private Sector
n1307SQPC-1,Private Sector
l35846FM-1,Self-employed
y28645APS-1,Private
nw5835B-1,private sector
zdj46474FUCG-1,Privte sector
d69687TZ-1,Self-Employed
nw2953HZO-1,Privte sector
ei11838C-1,Department of Health
m9179EDHN-1,private sector
h38165LQE-1,private sector
c63050G-1,Private
wv22470NTZ-1,Albany Health Dept
sg71585QMZI-1,ALbany Health Department
n15649HA-1,Private
zf11974OBVC-1,children
o3009MIAV-1,Entreprenur
g32361IASJ-1,free-lancer
o41523ZLQ-1,children
msf53910X-1,Self-employed
e67548B-1,Private
qc50441I-1,private sector
x16927ROD-1,private sector
che28265PEFU-1,Self employed
uc33404VKDZ-1,Privte sector
lm50965UK-1,Private
r21077AGTQ-1,Private
nsj12982RWN-1,restaurant owner
ha66570UD-1,Private
fq29158PU-1,private sector
lgv34299OX-1,Privte sector
aky54375CPJ-1,children
nvq37832RDT-1,children
g21058M-1,children
onp7696TPJG-1,Private
bi34668VWEQ-1,Private Sector
rax68483GLON-1,Privte sector
ked6072NBQ-1,Private
nt51112JZM-1,free-lancer
oeh69673OC-1,ALbany Health Department
cfr71238IS-1,Privte sector
fn63958DNL-1,Private Sector
i34511H-1,private sector
ygm24892T-1,Private Sector
wi29496AQH-1,Privte sector
za19939VUW-1,private sector
t27832N-1,Privte sector
a27757L-1,Private
et31279GS-1,Private Sector
xol25099UV-1,US Govcernment
e67733SC-1,Private
a9201VLYN-1,Self employed
rpw33123B-1,Freelancer
r21713NR-1,Private
yn22622QKUB-1,children
dk6726T-1,Private
gzd17242CHYF-1,Freelancer
r16380HD-1,Private
r9729YK-1,Privte sector
nzj56974GY-1,DoHMH
qk29933JRPX-1,children
h65574LX-1,Privte sector
up17019ZKHJ-1,NYS OMH
x41800G-1,Private
hp7621CK-1,Privte sector
yb6855DWK-1,Self-Employed
yd5374CUS-1,private sector
s31564AX-1,Private Sector
eu26028HD-1,Privte sector
sor71808DYPK-1,Privte sector
muq56998YPGS-1,children
cv14712SKI-1,Private
b23094OGV-1,restaurant owner
chi43134G-1,private sector
ey40622LTQO-1,Private Sector
xjv39383TAVG-1,private sector
g63606S-1,Albany Health Dept
azr46438BGV-1,entreprener
phz65144RIMY-1,Entrepreneur
m545SXB-1,Privte sector
zr36331DPVL-1,private sector
s42359ZW-1,children
e20751TA-1,Privte sector
fa34641ELV-1,Privte sector
iq15791XRES-1,Private Sector
yt68241W-1,children
y67780N-1,Private
c68275GTQ-1,Privte sector
h13129N-1,Entreprenur
owp60902DF-1,children
ral37629V-1,private sector
x58439MH-1,Private
n62936AYM-1,Private
jqd29010A-1,children
dmx36561VC-1,USAID
xd44912YCPI-1,children
s59829SKMR-1,Private Sector
scq45238ZRAK-1,children
r47811G-1,Self employed
a61511NUF-1,children
o55424SDVZ-1,private sector
ed36942R-1,Private Sector
ryf61697ND-1,Privte sector
jg55138EFD-1,Entrepreneur
wq39399NYLB-1,Self-Employed
ri17148AH-1,Privte sector
xni721K-1,entreprener
t40448T-1,Private Sector
pwg58007ANK-1,Private Sector
dq15095H-1,private sector
wqv11960IX-1,private sector
w56179HQA-1,private sector
q24592Q-1,private sector
fe67744VS-1,Private
mkw8328ONA-1,Private Sector
f32437OV-1,Self employed
nl44315HBV-1,restaurant owner
m68245G-1,Private
sx25483PLT-1,private sector
l47732VHFK-1,children
cfh50118K-1,Private
f55420Y-1,private sector
kze55709QMT-1,Entreprenur
kl15311DVT-1,Private Sector
eup53660L-1,private sector
au56553TF-1,Private Sector
nwq30480KG-1,private sector
j31988O-1,private sector
xp59807IEOC-1,Private Sector
k45585CUSM-1,Private Sector
mi39639Z-1,Privte sector
tes52063PO-1,Restaurant owner
lb40639TAUV-1,children
osl31090I-1,children
jc64174VWCM-1,Private
g8544EF-1,Self-Employed
l27377RFW-1,Private
z3361R-1,US Govcernment
vs61408M-1,caretaking
jnb33552JHS-1,Private Sector
ck31364A-1,children
goy7446A-1,Private
hge9906GJLM-1,children
cgt65130G-1,private sector
a27794CP-1,children
d48993ICU-1,private sector
sx30753FU-1,US Government
c46809E-1,Privte sector
pj22853AQ-1,restaurant owner
p12465O-1,Privte sector
fr64849QNGE-1,Private
w39659ABR-1,DoHMH
nmr24183GZY-1,DOHMH
ah71533HNQ-1,Private
sr35565F-1,Privte sector
oqz34558PS-1,Private Sector
bgl42553WSNQ-1,Private Sector
hpd39601WEHQ-1,Private
ce46891IWJO-1,private sector
ayf38987RZHA-1,Freelancer
fqb21886TKDZ-1,Private Sector
g5353OLAV-1,private sector
tz44300UN-1,Albany Health Dept
tj48144SUXN-1,US Govcernment
gor46218Y-1,Entreprenur
xm39745TBL-1,free-lancer
ezq13517I-1,Private
o36355SFNV-1,NYS Office of Mental Health
rna22678LUAZ-1,USAID
aic2532JYLD-1,Privte sector
kre52512OYF-1,private sector
xco3579L-1,Privte sector
x3130IXAN-1,private sector
e5545CJWK-1,free-lancer
z63693L-1,Private
tk34363NMTI-1,Private
r23650J-1,children
sp53515P-1,Private
deo33528HEI-1,Freelancer
d23046HDWS-1,entreprener
l11068NV-1,Entrepreneur
r62233C-1,Self-Employed
u7291M-1,private sector
se36814KVYD-1,Privte sector
e48265HV-1,USAID
ym10139PKFH-1,restaurant owner
fg12662RG-1,Self-employed
imz43174PAXH-1,Private
o72823U-1,private sector
sp30567A-1,Private
anp41927ZF-1,private sector
yx54866GH-1,children
fjy20364EUV-1,children
xc21117XI-1,Entrepreneur
p50491QVC-1,Self employed
yok61013WDKB-1,private sector
k71010S-1,free-lancer
ha23551AJZE-1,Private
ami10997R-1,Private
bik12738TZNV-1,private sector
cv57772HD-1,DoHMH
q16615PQVJ-1,Self employed
g62999EN-1,children
kel68995WVN-1,private sector
c66184XVF-1,USAID
thf53010YB-1,free-lancer
hyb967OFL-1,Private
x31145L-1,Private
sc54338BQ-1,NYC DOHMH
rzg22870QHX-1,children
ne13223NZQG-1,US Government
u57523MI-1,Private Sector
pgq67932VNJH-1,private sector
m10255V-1,Privte sector
owj68131PBFS-1,Privte sector
l29873NCOY-1,US Govcernment
s54182SE-1,private sector
juz61300OGP-1,Private Sector
kvg15274WUO-1,children
pu53016IU-1,children
bup28848IBS-1,Private
d27012Q-1,Privte sector
m7745BKW-1,Private Sector
l20541GM-1,Private Sector
x5892KBO-1,Private
uym66883JULA-1,Self-employed
mxt43196AMEG-1,entreprener
rp12593QBKY-1,Private
kzg51514H-1,children
c15553DPAT-1,Private Sector
e45796JEG-1,private sector
zv31840BALC-1,children
fnu58767TDM-1,private sector
qg14391F-1,Private Sector
g22321DVJ-1,Private Sector
gn38184DSRG-1,Private
bv13997D-1,Private
vp41673YXE-1,Private Sector
ouh27796P-1,Privte sector
j18390S-1,Privte sector
g63409JC-1,private sector
me9752XG-1,DoHMH
oih72882XZF-1,Private Sector
io49744TC-1,Private Sector
ai49086TXW-1,Private
n40866VG-1,free-lancer
kq47523X-1,Freelancer
xq63561ZWBH-1,Private Sector
faq51422D-1,Private Sector
l56870XNQS-1,Private Sector
f3590IC-1,Private Sector
u60665VRYF-1,Private Sector
j40791WQ-1,children
a54304KIU-1,Private Sector
yf22485KC-1,Private
s18430ICYV-1,entreprener
iv19234QT-1,private sector
nyi52454UPDR-1,children
tr13365LOEB-1,private sector
i60983FP-1,Private
y14615G-1,Private Sector
mfs50277NJDF-1,entreprener
qb50811JWPF-1,private sector
z16575OVKW-1,private sector
zy1246GRXT-1,Department of Health
e11176HLG-1,children
e30712O-1,Privte sector
jxh31308U-1,Privte sector
p9612GNK-1,children
pwa3325WCX-1,Restaurant owner
tu52808V-1,Privte sector
xwe41513V-1,Private
i36109HJX-1,Private Sector
uit53336BK-1,Albany Health Dept
gw56831H-1,private sector
yt52580QPG-1,private sector
s55592GN-1,private sector
pu33723DQGI-1,children
nf26235E-1,Private Sector
cuq16685HSMV-1,Private
qi44583FYW-1,Privte sector
auj25315T-1,Private
h58227BIEP-1,NYS Office of Mental Health
z60810MOHI-1,restaurant owner
xda34612PX-1,US Government
k8320IAB-1,children
kaf25595IDXO-1,Private
jk30550H-1,private sector
gs49529XY-1,children
jtg13367EHKF-1,private sector
i33585N-1,Private
ev49785B-1,Private Sector
e6886TX-1,Privte sector
xs38609VQAG-1,Albany Health Dept
yvi22159BXD-1,Private Sector
n37413FGK-1,private sector
y4169OIX-1,private sector
r40055WKXT-1,private sector
tdy18888M-1,Privte sector
ie45283T-1,Private Sector
fu42503LRF-1,private sector
v23645NI-1,private sector
dx62382IF-1,Private Sector
rt59521V-1,Private Sector
a55386G-1,private sector
v22685MO-1,private sector
p46745FI-1,US Government
qp72547J-1,Privte sector
dy26973FNR-1,Private
cly41033LFPO-1,US Govcernment
w5046F-1,Restaurant owner
a71442OY-1,Privte sector
ai49624VLX-1,Private Sector
q10572O-1,private sector
fdv55847QEB-1,Privte sector
l42441OEVR-1,children
suh28910VAK-1,Private Sector
fq10381JXO-1,entreprener
zdy14387JU-1,children
gdr31956LA-1,Privte sector
rlp17813IZR-1,Private
e24665S-1,Privte sector
y13683BM-1,Private
hp7387XHG-1,private sector
j57011F-1,Private Sector
hfe22384E-1,Private Sector
c24108H-1,Private Sector
pms50053TQM-1,Private
map69427I-1,Private Sector
pzw21688JO-1,private sector
byv60777FVW-1,USAID
cl64732TL-1,Privte sector
qg42710UC-1,private sector
bi46683F-1,Private Sector
l58909E-1,children
yr51125AQJ-1,private sector
dor29077T-1,Private Sector
w4970EB-1,Self employed
zau58291TU-1,Private Sector
luk18616FTM-1,Private Sector
j99WGQ-1,Private
lgq55529ZTO-1,Private
b12204EFY-1,USAID
b21397C-1,DoHMH
sg64633WLEG-1,Privte sector
ua23016FZPQ-1,private sector
cjx18412PSB-1,Privte sector
u67412QOD-1,Private Sector
f37545KHWZ-1,DOHMH
fc10324REP-1,children
ym14491YE-1,NYS Office of Mental Health
le64582BGKC-1,US Govcernment
klt25514ZOEP-1,children
f7663TZID-1,DoHMH
v66220NJ-1,private sector
a71793V-1,private sector
l25458EG-1,NYS OMH
bah69645CZOB-1,NYS Office of Mental Health
zy53695BGX-1,Albany Health Dept
vhe26692JHF-1,NYS OMH
s33400ED-1,ALbany Health Department
e67078XB-1,Privte sector
l32352RQW-1,ALbany Health Department
bdq22540AXZR-1,ALbany Health Department
zm26999NMLR-1,ALbany Health Department
uo65218FV-1,children
h30102COY-1,Private Sector
m49521OJ-1,Private Sector
m54643LXFV-1,children
yul29134G-1,private sector
ivj68281MF-1,US Government
nf40350HJXZ-1,Private
d33410KA-1,ALbany Health Department
kxr39375JTC-1,private sector
pyw2543LF-1,Private Sector
wym45289I-1,children
wb12106TD-1,US Government
rpj10792K-1,Privte sector
ict19153HWB-1,free-lancer
v47876ZXIW-1,children
n25283H-1,private sector
w12270IEM-1,Albany Health Dept
u49949X-1,Private
fsn50826VJ-1,NYS OMH
uco28681RPS-1,free-lancer
rma41615QMUN-1,children
lex14147Q-1,Private
foa41537AJXK-1,Private
n62332RT-1,Privte sector
se25488NSLO-1,Self employed
s45759PZN-1,Privte sector
nsw71929E-1,children
oal14807GSH-1,Private
v16110BCKL-1,Private Sector
rk40970GC-1,Private
m28933X-1,Private
l11709MKDN-1,private sector
of37154LH-1,private sector
jp16809RJS-1,Private
dgl13907BWMJ-1,Self-employed
l2314X-1,Private
by70380BTQ-1,Private
r63058I-1,Private Sector
t54071L-1,Private
ba67405F-1,Privte sector
w28024YK-1,private sector
wy11730SEV-1,DoHMH
rz2549H-1,private sector
xiz17245BQMV-1,private sector
q70852YN-1,Private Sector
kwv60957U-1,Private
yh19742KTBC-1,Private
mv10782CDPT-1,children
gxq61742IB-1,private sector
afq4808XC-1,Self-Employed
ryi13571XTF-1,Albany Health Dept
ab49928I-1,NYC DOHMH
wse52688U-1,Privte sector
u24099SWTY-1,Private
b65698CEIK-1,Privte sector
ce47885S-1,restaurant owner
a13948JVE-1,three Children
ix17351U-1,Privte sector
vc820J-1,Private
z55721QEL-1,Self-Employed
op72310EW-1,Self employed
uj24115KN-1,Private
s65766K-1,Privte sector
ohx42482ZOLM-1,children
oyh25627RGSJ-1,Self employed
oa7122BGY-1,Privte sector
ihx48755F-1,Privte sector
h33551QB-1,Private
feu62716Z-1,Self employed
q68438QVZ-1,Privte sector
lt41148LXUS-1,Private Sector
drc14924CRFG-1,private sector
lbx47950KCSV-1,entreprener
d8008I-1,DOHMH
zs56089E-1,Private Sector
o9262Y-1,private sector
nkg71896FZ-1,Private
kld38623ZJ-1,private sector
du26503YJ-1,private sector
z5475BLQ-1,Private Sector
vea15525UDOE-1,Private Sector
tbl48748UF-1,private sector
pze11745TM-1,Private Sector
p17733VAF-1,children
key71591L-1,private sector
h11743PN-1,private sector
hfu67864CY-1,Private
ml34857GVOE-1,Entrepreneur
m34995HQI-1,Privte sector
qwl3606IZMA-1,children
vp22952TD-1,USAID
ktz32554E-1,children
yta45893NVPB-1,children
fgb72020TK-1,Self-Employed
xa57879MG-1,private sector
di53538KDPL-1,children
dto17006HY-1,Private Sector
eh36638KLB-1,private sector
b41097S-1,Privte sector
q36618FTX-1,Restaurant owner
nz37290WYRO-1,free-lancer
wug54620UWDL-1,Private Sector
z42108C-1,ALbany Health Department
tom19681HNKB-1,restaurant owner
k6988O-1,entreprener
x25287IKD-1,private sector
sb224LQFA-1,Private Sector
kt56679ASYH-1,Private Sector
kx27146YXJB-1,Privte sector
xg16556N-1,two children
y5934GI-1,Private Sector
b58999KBM-1,Department of Health
azc28261AQ-1,free-lancer
rdw35222BQSL-1,Private
nj44105L-1,Entrepreneur
ltw65256YZLG-1,entreprener
hdv62709SQ-1,Privte sector
onk36698O-1,Privte sector
ylc7273O-1,Self-employed
cm20044E-1,Privte sector
a54769QN-1,Private Sector
r57372E-1,children
o30605SP-1,private sector
zxb13622WCVZ-1,children
zv12686KD-1,US Government
qea39250OBI-1,Private
g2879ZHXJ-1,Self-employed
wng59684NKDI-1,children
nw48830D-1,Private Sector
an56986NID-1,Children
rc47924PYG-1,Private Sector
kh16402T-1,children
bg40889UJRC-1,private sector
ve4083IGDM-1,Privte sector
hc59336XC-1,Private
